FARMACOS;DETENTOR;MEDICAMENTO;CONCENTRACAO;FORMA_FARMACEUTICA
Ampicilina;Bayer;BINOTAL;500mg;comp
Ampicilina;Eurofarma;AMPLACILINA;500mg;caps gelat dura 
Ampicilina;Eurofarma;AMPLACILINA;50mg/mL;po susp or
Ampicilina sódica;Eurofarma;AMPLACILINA;1000mg;po solç inj
Ampicilina sódica;Novafarma;AMPLATIL;500mg;po solç inj
Amprenavir;glaxosmithkline;AgENERASE;150mg;caps gelat mole
Amprenavir;glaxosmithkline;AgENERASE;15mg/mL;solç or
Anastrozol;Astrazeneca;ARimIDEX;1mg;comp rev
Anfepramona (cloridrato);germed;HIPOFAgIN S;25mg;comp
Anfepramona (cloridrato);germed;HIPOFAgIN S;75mg;comp desint lenta
Anfotericina B;Merck S/A;ABELCET;5,0mg/mL;susp inj
Anfotericina B;Cristália;ANFORICIN B;50mg;po liof inj
Anfotericina B (lipossomal);United Medical;AMBISOME;50mg;po liof inj
Anlodipino (besilato);Biosintética;CORDAREX;2,5mg;comp
Anlodipino (besilato);Pfizer;NORVASC;5,0mg;comp
Anlodipino (besilato);Pfizer;NORVASC;10mg;comp
Aripiprazol;Bristol Myers Squibb;ABILIFY;10mg;comp
Aripiprazol;Bristol Myers Squibb;ABILIFY;15mg;comp
Aripiprazol;Bristol Myers Squibb;ABILIFY;20mg;comp
Aripiprazol;Bristol Myers Squibb;ABILIFY;30mg;comp
Artesunato sódico;Mepha Invest;PLASMOTRim;200 mg;comp rev
Artesunato sódico;Mepha Invest;PLASMOTRim;200 mg;sups
Artesunato sódico;Mepha Invest;PLASMOTRim;50 mg;comp rev
Atenolol;Astrazeneca;ATENOL;100mg;comp
Atenolol;Astrazeneca;ATENOL;25mg;comp
Atenolol;Astrazeneca;ATENOL;50mg;comp
Atorvastatina cálcica;Pfizer;CITALOR;10mg;comp rev
Atorvastatina cálcica;Pfizer;CITALOR;20mg;comp rev
Atorvastatina cálcica;Pfizer;CITALOR;40mg;comp rev
Atorvastatina cálcica;Pfizer;CITALOR;80mg;comp rev
Atosibano (acetato);Ferring;TRACTOCILE;7,5mg/mL;solç inj
Atosibano (acetato);Ferring;TRACTOCILE;7,5mg/mL;solç infus
Atracúrio (besilato);glaxosmithkline;TRACRIUM;10mg/mL;solç inj
Atropina (sulfato);Ariston;ATROPION;0,25mg/mL;solç inj
Atropina (sulfato);Ariston;ATROPION;0,5mg/mL;solç inj
Axetilcefuroxima;glaxosmithkline;ZINNAT;250mg;comp rev
Axetilcefuroxima;glaxosmithkline;ZINNAT;250mg/mL;po susp or
Axetilcefuroxima;glaxosmithkline;ZINNAT;500mg;comp rev
Azatioprina;glaxosmithkline;imURAN;50 mg;comp rev
Azelaico, ácido;Intendis;AZELAN;150 mg/g;gel
Azelaico, ácido;Intendis;AZELAN;200 mg/g;crem derm
Azelastina (cloridrato);Asta Médica;RINO-LASTIN;1mg/mL;solç nas (spr)
Azitromicina diidratada;Pfizer;ZITROMAX;500mg;comp rev
Azitromicina diidratada;Pfizer;ZITROMAX;500mg;po liof solç infus
Azitromicina diidratada;Pfizer;ZITROMAX;600mg;po susp or
Azitromicina diidratada;Pfizer;ZITROMAX;900mg;po susp or
Azitromicina diidratada;Sigma Pharma;AZI;1000mg;comp rev
Aztreonam;Bristol Myers Squibb;AZACTAM;1000mg;po solç inj
Aztreonam;Bristol Myers Squibb;AZACTAM;500mg;po solç inj
Baclofeno;Novartis Biociências;LIORESAL;10mg;comp
Bambuterol (cloridrato);Astrazeneca;BAMBEC;1mg/mL;solç or
Beclometasona (dipropionato);Farmalab;CLENIL;100mcg/dose;susp nas
Beclometasona (dipropionato);Farmalab;CLENIL PULVINAL;100mcg/dose;po inal
Beclometasona (dipropionato);Farmalab;CLENIL PULVINAL;200mcg/dose;po inal
Beclometasona (dipropionato);Farmalab;CLENIL PULVINAL;400mcg/dose;po inal
Beclometasona (dipropionato);Farmalab;CLENIL spr;50mg/dose;solç aq aeros
Beclometasona (dipropionato);Farmalab;CLENIL spr;250mg/dose;solç aq aeros
Beclometasona (dipropionato);glaxosmithkline;BECLOSOL;50 mcg/mg;susp top (spr)
Benazepril (cloridrato);Novartis Biociências;LOTENSIN;10mg;comp rev
Benazepril (cloridrato);Novartis Biociências;LOTENSIN;5mg;comp rev
Benzidamina (cloridrato);Aché;FLOgORAL;1,5mg/mL;colut spr
Benzidamina (cloridrato);Aché;FLOgORAL;1,5mg/mL;colut
Benzidamina (cloridrato);Aché;FLOgORAL;3mg;past
Benzidamina (cloridrato);Aché;FLOgORAL;5mg/g;crem dental
Benzila (benzoato);Aché;MITICOÇAN;0,2mL/mL;emul top
Benzila (benzoato);Aché;MITICOÇAN;100mg/g;sabn
Benzila (benzoato);Cimed;PARASimED;250mg/mL;emul top
Benzilpenicilina benzatina;Eurofarma;BENZETACIL;1.200.000UI (300.000UI/mLX4mL);susp inj
Benzilpenicilina benzatina;Eurofarma;BENZETACIL;600.000 UI (150.000UI/mLX4mL);susp inj
Benzilpenicilina potássica;Eurofarma;BENZILPENICILINA POTÁSSICA;5.000.000UI;po solç inj
Benzoíla (peróxido);galderma;BENZAC AC;25mg/g;gel
Benzoilmetronidazol;Sanofi-Aventis;FLAgYL;40mg/mL;susp or
Betaistidina (dicloridrato);Apsen;LABIRIN;8mg;comp
Betaistidina (dicloridrato);Solvay Farma;BETASERC;16mg;comp
Betaistidina (dicloridrato);Apsen;LABIRIN;24mg;comp
Betametasona;Mantecorp;CELESTONE;0,1mg/mL;elx
Betametasona;Mantecorp;CELESTONE;0,5mg;comp
Betametasona;Mantecorp;CELESTONE;2,0mg;comp
Betametasona;Mantecorp;CELESTONE;0,5mg;solç or
Betametasona (dipropionato);Mantecorp;DIPROSONE;0,64mg/g;pomd derm
Betametasona (dipropionato);Mantecorp;DIPROSONE;0,64mg/g;crem derm
Betametasona (dipropionato);Mantecorp;DIPROSONE;0,64mg/mL;loç derm
Betametasona (fosfato dissódico);Mantecorp;CELESTONE INJETÁVEL;4mg/mL;solç inj
Betametasona (valerato);glaxosmithkline;BETNOVATE;1mg/g;loç derm
Betametasona (valerato);glaxosmithkline;BETNOVATE;1mg/g;loç capilar
Betametasona (valerato);glaxosmithkline;BETNOVATE;1mg/g;crem derm
Betametasona (valerato);glaxosmithkline;BETNOVATE;1mg/g;pomd derm
Betaxolol (cloridrato);Alcon;BETOPTIC;5,0mg/mL;solç oft
Betaxolol (cloridrato);Alcon;BETOPTIC S;2,5mg/mL;susp oft
Bezafibrato;Roche;CEDUR;200mg;comp rev
Bezafibrato;Roche;CEDUR;400mg;comp DE desint lenta
Bicalutamida;Astrazeneca;CASODEX;50mg;comp rev
Bifonazol;Bayer;MYCOSPOR;1mg/mL;solç top (spr)
Bimatoprosta;Allergan;LUMIgAN;0,3mg/mL;solç oft
Biperideno (cloridrato);Abbott;AKINETON;2,0mg;comp
Biperideno (cloridrato);Abbott;AKINETON;4,0mg;comp rev retard
Biperideno (lactato);Abbott;AKINETON;2mg;comp
Biperideno (lactato);Abbott;AKINETON;4mg/mL;comp rev retard
Biperideno (lactato);Abbott;AKINETON;5,0mg/mL;solç inj
Bisacodil;Boehringer Ingelheim;DULCOLAX;10mg;sups
Bisacodil;Boehringer Ingelheim;DULCOLAX;5,0mg;drag
Bisoprolol (fumarato);Merck S/A;CONCOR;1,25mg;comp rev
Bisoprolol (fumarato);Merck S/A;CONCOR;10mg;comp rev
Bisoprolol (fumarato);Merck S/A;CONCOR;2,5mg;comp rev
Bisoprolol (fumarato);Merck S/A;CONCOR;5,0mg;comp rev
Bleomicina (sulfato);Bristol Myers Squibb;BLENOXANE;15UI;po liof inj
Bosentana;Actelion;TRACLEER;62,5mg;comp rev
Bosentana;Actelion;TRACLEER;125mg;comp rev
Brimonidina (tartarato);Allergan;ALPHAgAN;2mg/mL;solç oft
