FARMACOS;DETENTOR;MEDICAMENTO;CONCENTRACAO;FORMA_FARMACEUTICA
Ciprofloxacino (cloridrato);Allergan;BIAMOTIL;3,5mg/g;pomd oft
Ciprofloxacino (cloridrato);Allergan;BIAMOTIL;3,5mg/mL;solç oft
Ciprofloxacino (cloridrato);Bayer;CIPRO;500mg (como ciprofloxacino);comp rev
Ciprofloxacino (cloridrato);Bayer;CIPRO;250mg (como ciprofloxacino);comp rev
Ciproterona (acetato);Schering do Brasil;ANDROCUR;100mg;comp
Ciproterona (acetato);Schering do Brasil;ANDROCUR;50mg;comp
Cisatracúrio (besilato);glaxosmithkline;NimBIUM;2,0mg/mL;solç inj
Cisatracúrio (besilato);glaxosmithkline;NimBIUM;5,0mg/mL;solç inj
Cisplantina;Bristol Myers Squibb;PLATIRAN;50mg (0,5mg/mL);solç inj
Cisplantina;Libbs;FAULDCISPLA;100mg (1mg/mL);solç inj
Cisplantina;Libbs;FAULDCISPLA;50mg (1mg/mL);solç inj
Citalopram (brometo);Lundbeck;CIPRAMIL;20mg;comp rev
Citalopram (brometo);Libbs;PROCimAX;40mg;comp
Citarabina;Pfizer;ARACYTIN;100mg;po liof inj
Citarabina;Pfizer;ARACYTIN CS;100mg/mL;solç inj
Citarabina;Pfizer;ARACYTIN CS;20mg/mL;solç inj
Cladribina;Janssen Cilag;LEUSTATIN;1mg/mL;solç inj
Claritromicina;Abbott;KLARICID;50mg/mL;gran susp or
Claritromicina;Abbott;KLARICID;25mg/mL;gran susp or
Claritromicina;Abbott;KLARICID;500mg;po liof solç inj
Claritromicina;Abbott;KLARICID UD;500mg;comp absor prolong
Claritromicina;Medley;CLARITROMICINA gENÉRICO;250mg;comp rev
Claritromicina;Pharlab;KLARITRIL;500mg;comp rev
Climipramina (cloridrato);Novartis Biociências;ANAFRANIL;10mg;drag
Climipramina (cloridrato);Novartis Biociências;ANAFRANIL;25mg;drag
Climipramina (cloridrato);Novartis Biociências;ANAFRANIL;75mg;comp lib lenta
Clindamicina (cloridrato);Pfizer;DALACIN C;300mg;caps gelat dura
Clindamicina (fosfato);Stiefel;CLINAgEL;10,3mg/g;gel
Clindamicina (fosfato);Pfizer;DALACIN C INJETÁVEL;150mg/mL;solç inj
Clindamicina (fosfato);Pfizer;DALACIN T;10mg/mL;solç top 
Clindamicina (fosfato);Pfizer;DALACIN V;20mg/g;crem vaginal
Clobetasol (propionato);glaxosmithkline;PSOREX;0,5mg/g;solç capilar
Clobetasol (propionato);glaxosmithkline;PSOREX;0,5mg/g;crem derm
Clobetasol (propionato);glaxosmithkline;PSOREX;0,5mg/g;pomd derm
Clomifeno (citrato);Medley;CLOMID;50mg;comp
Clonazepam;Roche;RivOTRIL;2,0mg;comp
Clonazepam;Roche;RivOTRIL;0,5mg;comp
Clonazepam;Roche;RivOTRIL;2,5mg/mL;solç or (gotas)
Clonidina (cloridrato);Boehringer Ingelheim;ATENSINA;100mcg;comp
Clonidina (cloridrato);Boehringer Ingelheim;ATENSINA;150mcg;comp
Clonidina (cloridrato);Boehringer Ingelheim;ATENSINA;200mcg;comp
Clonidina (cloridrato);Cristália;CLONIDIN;150mcg/mL;solç inj
Clopidogrel (bissulfato);Sanofi-Aventis;PLAVIX;75mg;comp rev
Clorambucila;glaxosmithkline;LEUKERAN;2mg;comp rev
Cloranfenicol;Allergan;CLORANFENICOL OCULUM;4mg/mL;solç oft
Cloranfenicol (levógiro);Pfizer;QUEMICETINA;250mg;drag
Cloranfenicol (levógiro);Pfizer;QUEMICETINA;500mg;drag
Cloranfenicol (palmitato);Pfizer;QUEMICETINA Xarope;54,365mg/mL;xpe
Cloranfenicol (succinato sódico);Ariston;ARIFENICOL;1g;po liof inj + diluente 5mL
Clorexidina (digluconato);HYPOFARMA;MERTHIOLATE;10mg/mL;solç top
Clorexidina (gliconato);Cristália;MARCLOHREX;20mg/g;sabn liq
Clorexidina (gliconato);Cristália;MARCLOHREX;40mg/g;sabn liq
Cloroquina (difosfato);Lqfex;CLOROQUINA;150mg;comp
Clorpromazina (cloridrato);Sanofi-Aventis;AMPLICTIL;100mg;comp rev
Clorpromazina (cloridrato);Sanofi-Aventis;AMPLICTIL;25mg;comp rev
Clorpromazina (cloridrato);Sanofi-Aventis;AMPLICTIL;40mg/mL;solç or
Clorpromazina (cloridrato);Sanofi-Aventis;AMPLICTIL;5,0mg/mL;solç inj
Clorpropamida;Pfizer;DIABINESE;250mg;comp
Clortalidona;Novartis Biociências;HIgROTON;12,5mg;comp
Clortalidona;Novartis Biociências;HIgROTON;25mg;comp
Clortalidona;Novartis Biociências;HIgROTON;50mg;comp
Clotimazol;Bayer;CANESTEN;10mg/g;solç top (spr)
Clotimazol;Bayer;CANESTEN;10mg/g;crem derm
Clotimazol;Bayer;CANESTEN;10mg/g;po
Clotimazol;Bayer;gINO CANESTEN;200mg;comp vaginal
Clotimazol;Bayer;gINO CANESTEN;100mg;comp vaginal
Clotimazol;Bayer;gINO CANESTEN;10mg/g;crem vaginal
Clotimazol;Bayer;gINO CANESTEN;20mg/g;crem vaginal
Clotimazol;Bayer;gINO CANESTEN;500mg;comp vaginal
Cloxazolam;Novartis Biociências;OLCADIL;1mg;comp
Cloxazolam;Novartis Biociências;OLCADIL;2mg;comp
Cloxazolam;Novartis Biociências;OLCADIL;4mg;comp
Clozapina;Novartis Biociências;LEPONEX;100mg;comp
Clozapina;Novartis Biociências;LEPONEX;25mg;comp
Codergocrina (mesilato);Novartis Biociências;HYDERgINE;0,3mg/mL;solç inj
Codergocrina (mesilato);Novartis Biociências;HYDERgINE;1mg;caps gelat dura
Codergocrina (mesilato);Novartis Biociências;HYDERgINE;1mg/mL;solç or
Codergocrina (mesilato);Novartis Biociências;HYDERgINE;4,5mg;comp
Codergocrina (mesilato);Novartis Biociências;HYDERgINE;4,5mg/1,5mL;solç or
Codergocrina (mesilato);Novartis Biociências;HYDERgINE;6,0mg;caps gelat dura desint gradual
Colchicina;Apsen;COLCHIS;0,5mg;comp
Colchicina;Apsen;COLCHIS;1,0mg;comp
Colistimetato sódico;Collect;COLOMYCIN;1.000.000 UI + diluente 5 mL;po liof estéril
Colistimetato sódico;Collect;COLOMYCIN;2.000.000 UI + diluente 5 mL;po liof estéril
Colistimetato sódico;Collect;COLOMYCIN;500.000 UI + diluente 5 mL;po liof estéril
Colistimetato sódico;Opem;COLIS-TEK;150mg;po liof
Cromoglicato dissódico;Allergan;CROMOLERg OCULUM;20mg/g;solç oft
Cromoglicato dissódico;Allergan;CROMOLERg OCULUM;40mg/g;solç oft
Cromoglicato dissódico;Sanofi-Aventis;INTAL;40mg/mL;solç nas (spr)
Cromoglicato dissódico;Sanofi-Aventis;INTAL;5,0mg;solç + propelente
Dacarbazina;Eurofarma;DACARB;200mg;po liof inj
Dacarbazina;Eurofarma;DACARB;100mg;po liof inj
Dactinomicina;Bagó;COSMEgEN;0,5mg;po liof
Danazol;Sanofi-Aventis;LADOgAL;100mg;caps gelat dura
Danazol;Sanofi-Aventis;LADOgAL;200mg;caps gelat dura
Dapsona;Furp;FURP - DAPSONA;100mg;comp
Daunorrubicina (cloridrato);Pharmacia;DAUNOBLASTINA;20mg;po liof solç inj
Deferoxamina (mesilato);Novartis Biociências;DESFERAL;500mg;po liof solç inj
Deflazacorte;Sanofi-Aventis;CALCORT;30mg;comp
Deflazacorte;Sanofi-Aventis;CALCORT;6,0mg;comp
Deflazacorte;Libbs;DEFLANIL;22,75mg/mL;solç or
Deltametrina;Hypermarcas;ESCABIN;0,2mg/mL;xamp
Deltametrina;Hypermarcas;ESCABIN;0,2mg/mL;loç
Deltametrina;Hypermarcas;ESCABIN;0,3mg/g;sabn
Demopressina (acetato);Ferring;DDAVP;0,1mg;comp
Demopressina (acetato);Ferring;DDAVP;0,1mg/mL;solç nas
Demopressina (acetato);Ferring;DDAVP;0,1mg/mL;solç nas (spr)
Demopressina (acetato);Ferring;DDAVP;0,2mg;comp
Demopressina (acetato);Ferring;DDAVP;4mcg/mL;solç inj
Deslanósido;Novartis Biociências;CEDILANIDE;0,2mg/mL;solç inj
Desloratadina;Mantecorp;DESALEX;0,5mg/mL;xpe
Desloratadina;Mantecorp;DESALEX;5mg;comp rev
Desogestrel;Organon;CERAZETTE;75mcg;comp rev
Desonida;Medley;DESONOL;0,5mg/g;crem derm
Desonida;Medley;DESONOL;0,5mg/g;loç derm
Desonida;Medley;DESONOL;0,5mg/g;pomd derm
Desonida;Medley;DESONOL;1mg/g;loç capilar
Desoximetasona;Sanofi-Aventis;ESPERSON;2,5mg/g;pomd derm
Desvenlafaxina (succinato monoidratado);Wyeth;PRISTIQ;75,87 mg (= 50mg Desvenlafaxina);comp rev lib prolong
Desvenlafaxina (succinato monoidratado);Wyeth;PRISTIQ;151,77 mg (= 100mg Desvenlafaxina);comp rev lib prolong
Dexametasona;Aché;DECADRON;0,1mg/mL;elx
Dexametasona;Aché;DECADRON;0,5mg;comp
Dexametasona;Aché;DECADRON;0,75mg;comp
Dexametasona;Aché;DECADRON;4mg;comp
Dexametasona;Alcon;MAXIDEX;1mgmL;susp oft
Dexametasona;Alcon;MAXIDEX;1mg/g;pomd oft
Dexametasona (acetato);Teuto;DEXASON;1mg/g;crem derm
Dexametasona (fosfato dissódico);Aché;DECADRON;2mg/mL;solç inj
Dexametasona (fosfato dissódico);Aché;DECADRON;4mg/mL;solç inj
Dexclorfeniramina (maleato);Mantecorp;POLARAMINE;0,4mg/mL;solç or
Dexclorfeniramina (maleato);Mantecorp;POLARAMINE;10mg/g;crem derm
Dexclorfeniramina (maleato);Mantecorp;POLARAMINE;2,8mg/mL;solç or
Dexclorfeniramina (maleato);Mantecorp;POLARAMINE;2mg;comp
Dexclorfeniramina (maleato);Mantecorp;POLARAMINE;6,0mg;drag
Dextrometorfano (bromidrato);Johnson & Johnson;BENALET TSC;3mg/mL;xpe
Dextrometorfano (bromidrato);Novartis Biociências;TRimEDAL TOSSE;7,5mg;film desint or
Dextrometorfano (bromidrato);Novartis Biociências;TRimEDAL TOSSE;15mg;film desint or
Diacereína;TRB-pharma;ARTRODAR;50mg;caps gelat dura
Diazepam;Roche;VALIUM;10mg;comp
Diazepam;Roche;VALIUM;5,0mg;comp
Diazepam;União Química;DIAZEPAM;5,0mg/mL;solç inj
Diclofenaco ácido;Novartis Biociências;CATAFLAM;1,8mg/mL;susp or 
Diclofenaco ácido;Novartis Biociências;CATAFLAM D;44,3mg;comp disp
Diclofenaco colestiramina;Novartis Biociências;FLOTAC;140mg;caps gelat dura
Diclofenaco dietilamônio;Novartis Biociências;CATAFLAM;11,6mg;solç top aer
Diclofenaco dietilamônio;Novartis Biociências;CATAFLAM EMULgEL;11,6mg/g;gel
Diclofenaco de resinato;Novartis Biociências;CATAFLAM;44,94mg/mL;susp or (gotas)
Diclofenaco potássico;Novartis Biociências;CATAFLAM;12,5mg;sups
Diclofenaco potássico;Novartis Biociências;CATAFLAM;25mg/mL;solç inj
Diclofenaco potássico;Novartis Biociências;CATAFLAM;50mg;drag
Diclofenaco potássico;Novartis Biociências;CATAFLAM;75mg;sups
Diclofenaco potássico;Novartis Biociências;CATAFLAM DOLO;12,5mg;comp rev
Diclofenaco sódico;Allergan;STILL;1mg/g;pomd oft
Diclofenaco sódico;Merck S/A;ARTREN;100mg;caps gelat dura microgran
Diclofenaco sódico;Novartis Biociências;VOLTAREN;25mg/mL;solç inj
Diclofenaco sódico;Novartis Biociências;VOLTAREN;50mg;comp rev
Diclofenaco sódico;Novartis Biociências;VOLTAREN;50mg;sups 
Diclofenaco sódico;Novartis Biociências;VOLTAREN COLÍRIO;1mg/mL;solç oft
Diclofenaco sódico;Novartis Biociências;VOLTAREN EMULgEL;10mg/g;gel
Diclofenaco sódico;Novartis Biociências;VOLTAREN retard;100mg;comp rev desint lenta
Diclofenaco sódico;Novartis Biociências;VOLTAREN SR;75mg;comp rev desint lenta
Diclofenaco sódico;Zodiac;FLODIN DUO;150mg;comp DE desint lenta
Didrogesterona;Solvay Farma;DUPHASTON;10mg;comp rev
Digoxina;glaxosmithkline;DIgOXINA;0,05mg/mL;elx
Digoxina;glaxosmithkline;DIgOXINA;0,25mg;comp
Diltiazem (cloridrato);Baldacci;BALCOR;300mg;caps microgran lib prolong
Diltiazem (cloridrato);Boehringer Ingelheim;CARDIZEM;30mg;comp
Diltiazem (cloridrato);Boehringer Ingelheim;CARDIZEM;60mg;comp
Diltiazem (cloridrato);Boehringer Ingelheim;CARDIZEM CD;180mg;caps gelat dura lib gradual
Diltiazem (cloridrato);Boehringer Ingelheim;CARDIZEM CD;240mg;caps gelat dura lib gradual
Diltiazem (cloridrato);Boehringer Ingelheim;CARDIZEM SR;120mg;caps gelat dura + microgran
Diltiazem (cloridrato);Boehringer Ingelheim;CARDIZEM SR;90mg;caps gelat dura + microgran
Dimenidrato;Nycomed;DRAMIN;100mg;comp
Dimeticona / Simeticona;Bristol Myers Squibb;LUFTAL;40mg;comp
Dimeticona / Simeticona;Bristol Myers Squibb;LUFTAL;75mg/mL;emul or (gotas)
Dimeticona / Simeticona;Bristol Myers Squibb;LUFTAL MAX;125mg;caps gelat mole
Dimeticona / Simeticona;Bristol Myers Squibb;LUFTAL MAX;125mg;comp mast 
Dimeticona / Simeticona;Lab. Americano de Farmacoterapia;FLATEX;150mg;comp
Dimeticona / Simeticona;Lab. Americano de Farmacoterapia;FLATEX;150mg;emul or (gotas)
Dipiridamol;Boehringer Ingelheim;PERSATIN;100mg;drag
Dipiridamol;Boehringer Ingelheim;PERSATIN;5mg/mL;solç inj
Dipiridamol;Boehringer Ingelheim;PERSATIN;75mg;drag
Dipirona sódica;Sanofi-Aventis;NOVALgINA;300mg;sups 
Dipirona sódica;Sanofi-Aventis;NOVALgINA;500mg;comp
Dipirona sódica;Sanofi-Aventis;NOVALgINA;500mg/mL;solç or
Dipirona sódica;Sanofi-Aventis;NOVALgINA;500mg/mL;solç inj
Dipirona sódica;Sanofi-Aventis;NOVALgINA;50mg/mL;solç or
Dipirona sódica;Sanofi-Aventis;NOVALgINA;1000 mg;comp SimPLES
Divalproato sódico;Abbott;DEPAKOTE;250mg;comp rev lib entérica
Divalproato sódico;Abbott;DEPAKOTE;500mg;comp rev lib entérica
Divalproato sódico;Abbott;DEPAKOTE SPRINKLE;125mg;caps gelat + microgran
Divalproato sódico;Abbott;DEPAKOTE ER;500mg;comp rev lib prolong
Dobutamina (cloridrato);Antibióticos do Brasil;DOBUTREX;12,5mg/mL;solç inj
Docetaxel;Sanofi-Aventis;TAXOTERE;20mg/0,5mL + diluente 1,5mL;solç inj
Docetaxel;Sanofi-Aventis;TAXOTERE;80mg/2mL + diluente 6mL;solç inj
Domperidona;Janssen Cilag;MOTILIUM;10mg;comp
Domperidona;Janssen Cilag;MOTILIUM;1mg/mL;susp or
Donezepil (cloridrato);Wyeth;ERANZ;10mg;comp rev
Donezepil (cloridrato);Wyeth;ERANZ;5,0mg;comp rev
Dopamina (cloridrato);Cristália;DOPACRIS;5mg/mL;solç inj
Dorzolamida (cloridrato);Merck Sharp & Dohme;TRUSOPT;20mg/mL;solç oft
Doxazosina (mesilato);Apsen;UNOPROST;1mg;comp
Doxazosina (mesilato);Apsen;UNOPROST;4mg;comp
Doxazosina (mesilato);Merck S/A;MESILATO DE DOXAZOSINA;2mg;comp
Doxazosina (mesilato);Pfizer;CARDURAN XL;4mg;comp lib controlada
Doxiciclina (carregenato);Pfizer;VIBRAMICINA;100mg;comp SOLÚVEL
Doxiciclina (carregenato);Pfizer;VIBRAMICINA;100mg;comp
Doxiciclina (carregenato);Pfizer;VIBRAMICINA;100mg;drag
Doxiciclina (cloridrato);Pfizer;VIBRAMICINA;100mg;drag
Doxiciclina monoidratada;Pfizer;VIBRAMICINA;100mg;comp solúvel
Doxorrubicina (cloridrato lipossomal peguilado);Schering Plough;CAELYX;2 mg/mL;comp solúvel
Doxorrubicina (cloridrato);Libbs;FAULDOXO;2mg/mL;comp solúvel
Doxorrubicina (cloridrato);Pfizer;ADRIBLASTINA RD;50mg;po liof solç inj
Doxorrubicina (cloridrato);Pfizer;ADRIBLASTINA RD;10mg;po liof solç inj
Dropropizina;Solvay Farma;VIBRAL;1,5mg/mL;xpe (infantil)
Dropropizina;Solvay Farma;VIBRAL;3,0mg/mL;xpe (adulto)
Dropropizina;Solvay Farma;VIBRAL;30mg/mL;solç or (gotas) 
Duloxetina (cloridrato);Eli Lilly;CYMBALTA;30mg;caps gelat + microgran
Duloxetina (cloridrato);Eli Lilly;CYMBALTA;60mg;caps gelat + microgran
Econazol (nitrato);Stiefel;MICOSTYL;10mg/g;loç cremosa
Econazol (nitrato);Stiefel;MICOSTYL;10mg/g;crem derm
Efavirenz;Merck Sharp & Dohme;STOCRIN;200mg;caps gelat dura
Efavirenz;Merck Sharp & Dohme;STOCRIN;300mg;comp rev
Efavirenz;Merck Sharp & Dohme;STOCRIN;30mg/mL;solç or
Efavirenz;Merck Sharp & Dohme;STOCRIN;50mg;caps gelat dura
Efavirenz;Merck Sharp & Dohme;STOCRIN;600mg;comp rev
Efedrina (sulfato);Cristália;EFEDRIN;50mg/mL;solç inj
Enalapril (maleato);Biosintética;EUPRESSIN;2,5mg;comp
Enalapril (maleato);Merck Sharp & Dohme;RENITEC;10mg;comp
Enalapril (maleato);Merck Sharp & Dohme;RENITEC;20mg;comp
Enalapril (maleato);Merck Sharp & Dohme;RENITEC;5,0mg;comp
Enflurano;Abbott;ETRANE;1mL/1mL;solç inal
Entacapona;Novartis Biociências;CONTAM;200mg;comp rev
Epinastina (cloridrato);Aché;TALERC;10mg;comp rev
Epinastina (cloridrato);Aché;TALERC;20mg;comp rev
Epinastina (cloridrato);Aché;TALERC;2mg/mL;xpe
Epirrubicina;Pharmacia;FARMORRUBICINA CS;2mg/mL;solç inj
Epirrubicina;Pharmacia;FARMORRUBICINA RD;10mg;po liof inj
Epirrubicina;Pharmacia;FARMORRUBICINA RD;50 mg;po liof inj
Epirrubicina;Stiefel;STIEMYCIN;20mg/g;gel
Ergotamina (maleato);Biolab Sanus;ERgOTRATE;0,2 mg/mL;solç inj
Eritromicina (estearato);Furp;FURP-ERITROMICINA;250mg;comp rev 
Eritromicina (estearato);Furp;FURP-ERITROMICINA;25mg/mL;susp or 
Eritromicina (estearato);Hipolabor;ERITRAM;500mg;drag simples 
Eritromicina (estearato);Aché;ERITREX;25mg/mL;susp or 
Eritromicina (estearato);Aché;ERITREX;500mg;comp
Eritromicina (estearato);Aché;ERITREX;50mg/mL;susp or 
Ertapeném sódico;Merck Sharp & Dohme;INVANZ;1g;po liof inj
Escitalopram (oxalato);Lundbeck;LEXAPRO;10mg/mL;solç or
Escitalopram (oxalato);Lundbeck;LEXAPRO;10mg;comp rev
Escitalopram (oxalato);Lundbeck;LEXAPRO;20mg;comp rev
Escopolamina (butilbrometo);Boehringer Ingelheim;BUSCOPAN;10mg;drag
Escopolamina (butilbrometo);Boehringer Ingelheim;BUSCOPAN;10mg/mL;solç or (gotas)
Escopolamina (butilbrometo);Boehringer Ingelheim;BUSCOPAN;20mg/mL;solç inj
Esmolol (cloridrato);Cristália;BREVIBLOC;10mg/mL;solç inj
Esomeprazol magnésico triidratado;Astrazeneca;NEXIUM;20mg;comp rev
Esomeprazol magnésico triidratado;Astrazeneca;NEXIUM;40mg;comp rev
Esomeprazol sódico;Astrazeneca;NEXIUM iv;40mg;po liof inj
Espironolactona;Pharmacia;ALDACTONE;50mg;comp
Espironolactona;Pharmacia;ALDACTONE;100mg;comp
Espironolactona;Pharmacia;ALDACTONE;25mg;comp
Estazolam;Abbott;NOCTAL;2mg;comp
Estradiol;Janssen Cilag;SYSTEN;1,6mg;ades trand 
Estradiol;Janssen Cilag;SYSTEN;3,2mg;ades trand 
Estradiol;Janssen Cilag;SYSTEN;6,4mg;ades trand 
Estradiol;Lab. Americano de Farmacoterapia;HORMOdose;0,75mg/1,25g;gel
Estradiol;Medley;ESTROFEM;1mg;comp rev
Estradiol;Medley;ESTROFEM;2mg;comp rev
Estradiol;Organon;RISELLE;25mg;comp impl
Estradiol;Organon;SANDRENA;1mg/g;gel (sachê)
Estradiol (valerato micronizado);Novartis Biociências;MERimONO;1mg;comp rev
Estriol;Organon;OVESTRION;1mg;comp
Estriol;Organon;OVESTRION;1mg/g;crem vaginal
Estriol;Organon;OVESTRION;2mg;comp
Etambutol (cloridrato);Furp;FURP - ETAMBUTOL;400mg;comp rev
Etambutol (cloridrato);Furp;FURP - ETAMBUTOL;25mg/mL;solç or
Etilefrina (cloridrato);Boehringer Ingelheim;EFORTIL;10mg/mL;solç inj
Etilefrina (cloridrato);Boehringer Ingelheim;EFORTIL;5mg;comp
Etilefrina (cloridrato);Boehringer Ingelheim;EFORTIL;7,5mg/mL;solç or
Etionamida;Fundação Oswaldo Cruz;FARMANgUINHOS - ETIONAMIDA;250mg;comp rev
Etofenamato;Bayer;ASPISPORT;50mg/g;gel
Etofibrato;Pharmacia;TRICEROL;500mg;caps gelat dura + microgran lib retard
Etomidato;Janssen Cilag;HYPNOMIDATE;2mg/mL;solç inj
Etonogestrel;Akzo Nobel;imPLANON;68mg;impl subcutâneo
Etoposídeo;Bristol Myers Squibb;VEPESID;100mg;caps gelat mole
Etoposídeo;Bristol Myers Squibb;VEPESID;20mg/mL;solç inj
Etoposídeo;Bristol Myers Squibb;VEPESID;50mg;caps gelat mole
Etoposídeo (fosfato);Bristol Myers Squibb;NEXVEP;100mg;po liof solç inj
Etoricoxib;Merck Sharp & Dohme;ARCOXIA;120mg;comp rev
Etoricoxib;Merck Sharp & Dohme;ARCOXIA;60mg;comp rev
Etoricoxib;Merck Sharp & Dohme;ARCOXIA;90mg;comp rev
Exemestano;Pfizer;AROMASIN;25mg;drag
Ezetimiba;Merck Sharp & Dohme;EZETROL;10mg;comp rev
Famotidina;Aché;FAMOX;20mg;comp
Famotidina;Aché;FAMOX;40mg;comp
Fanciclovir;Sigma Pharma;PENVIR;125mg;comp rev
Fanciclovir;Blausiegel;FANCLOMAX;250mg;comp rev
Felodipina;Astrazeneca;SPLENDIL;10mg;comp lib prolong
Felodipina;Astrazeneca;SPLENDIL;2,5mg;comp lib prolong
Felodipina;Astrazeneca;SPLENDIL;5,0mg;comp lib prolong
Fenazopiridina (cloridrato);Zodiac;PYRIDIUM;100mg;drag
Fenazopiridina (cloridrato);Zodiac;PYRIDIUM;200mg;drag
Fenilbutazona cálcica;Boehringer Ingelheim;BUTAZONA CÁLCICA;200mg;comp rev
Fenitoína;Sanofi-Aventis;HIDANTAL;100mg;comp
Fenitoína sódica;Sanofi-Aventis;HIDANTAL;50mg/mL;solç inj
Fenobarbital;Sanofi-Aventis;gARDENAL;100mg;comp
Fenobarbital;Sanofi-Aventis;gARDENAL;40mg/mL;solç or
Fenobarbital;Sanofi-Aventis;gARDENAL;50mg;comp
Fenobarbital;União Química;UNIFENOBARB;200mg/mL;solç inj
Fenofibrato;Farmalab;LIPIDIL;200mg;caps gelat dura
Fenofibrato;Farmasa;LIPANON;250mg;caps gelat + microgran
Fenoterol (bromidrato);Boehringer Ingelheim;BEROTEC;0,25mg/mL;xpe
Fenoterol (bromidrato);Boehringer Ingelheim;BEROTEC;0,5mg/mL;xpe
Fenoterol (bromidrato);Boehringer Ingelheim;BEROTEC;5,0 mg/mL;solç 
Fenoterol (bromidrato);Boehringer Ingelheim;BEROTEC 100mcg;2mg/mL;aeros dosificador
Fenoterol (bromidrato);Boehringer Ingelheim;BEROTEC 200mcg;4mg/mL;aeros dosificador
Fenoxazolina (cloridrato);EMS;RINIgRAN;0,5mg/mL;solç nas
Fenoxazolina (cloridrato);EMS;RINIgRAN;1mg/mL;solç nas
Fenoximetilpenicilina potássica;Eurofarma;PEN-VE -ORAL;500.000UI;comp
Fenoximetilpenicilina potássica;Eurofarma;PEN-VE -ORAL;80.000UI/mL;po solç or
Fentanila;Janssen Cilag;DUROgESIC;2,5mg;ades trand
Fentanila;Janssen Cilag;DUROgESIC;5mg;ades trand
Fentanila;Janssen Cilag;DUROgESIC;7,5mg;ades trand
Fentanila;Janssen Cilag;DUROgESIC;10mg;ades trand
Fentanila;Janssen Cilag;DUROgESIC D-TRANS;2,1mg;ades trand matricial
Fentanila;Janssen Cilag;DUROgESIC D-TRANS;4,2mg;ades trand matricial
Fentanila;Janssen Cilag;DUROgESIC D-TRANS;8,4mg;ades trand matricial
Fentanila (citrato);Janssen Cilag;FENTANIL;50mcg/mL;solç inj
Fenticonazol (nitrato);Aché;FENTIZOL;0,02g/g;crem vaginal
Fenticonazol (nitrato);Aché;FENTIZOL;600mg;ovul 
Fentolamina (mesilato);Cimed;VIgAMED;40mg;comp
Fexofenadina (cloridrato);Sanofi-Aventis;ALLEgRA;120mg;comp rev
Fexofenadina (cloridrato);Sanofi-Aventis;ALLEgRA;180mg;comp rev
Fexofenadina (cloridrato);Sanofi-Aventis;ALLEgRA;30mg;comp rev
Fexofenadina (cloridrato);Sanofi-Aventis;ALLEgRA;60mg;comp rev
Finasterida;Merck Sharp & Dohme;PROPECIA;1mg;comp rev
Finasterida;Merck Sharp & Dohme;PROSCAR;5 mg;comp rev
Fluconazol;Pfizer;ZOLTEC;100mg;caps gelat dura
Fluconazol;Pfizer;ZOLTEC;150mg;caps gelat dura
Fluconazol;Pfizer;ZOLTEC;2mg/mL;solç inj infus iv
Fluconazol;Pfizer;ZOLTEC;50mg;caps gelat dura 
Fludarabina (fosfato);Schering do Brasil;FLUDARA;10mg;comp rev
Fludarabina (fosfato);Schering do Brasil;FLUDARA;50mg;po liof inj
Flumazenil;Roche;LANEXAT;0,1mg/mL;solç inj
Flunarizina (dicloridrato);Aché;VERTIX;10mg;comp
Flunitrazepam;Roche;ROHYPNOL;1mg;comp rev
Fluormetolona;Allergan;FLUMEX;1mg/mL;susp oft
Fluormetolona;Allergan;FLUMEX;2,5mg/mL;susp oft
Fluormetolona (acetato);Alcon;FLORATE;1mg/mL;susp oft
Fluorouracila;Eurofarma;FLUOROURACILA gENÉRICO;25mg/mL;solç inj
Fluoxetina (cloridrato);Eli Lilly;PROZAC;20mg;comp disp
Fluoxetina (cloridrato);Eli Lilly;PROZAC;20mg;caps gelat dura 
Fluoxetina (cloridrato);Eli Lilly;PROZAC DURAPAC;90mg;caps gelat dura + microgran
Fluoxetina (cloridrato);germed;DAFORIN;10mg;caps gelat dura 
Fluoxetina (cloridrato);germed;DAFORIN;20mg;comp rev
Fluoxetina (cloridrato);germed;DAFORIN;20mg/mL;solç or
Flupirtina (maleato);Asta Médica;KATADOLON;100mg;caps gelat dura
Flurbiprofeno;Allergan;OCUFEN;0,3mg/mL;solç oft
Flutamida;Mantecorp;EULEXIN;250mg;comp
Fluticasona (proprionato);glaxosmithkline;FLIXOTIDE;250mcg/dose;aeros
Fluticasona (proprionato);glaxosmithkline;FLIXOTIDE;50mcg/dose;aeros
Fluticasona (proprionato);glaxosmithkline;FLIXONASE;50mcg/dose;susp top (spr)
Flutrimazol;Biosintética;MICETAL;0,01g/g;crem derm
Flutrimazol;Biosintética;MICETAL;0,01g/mL;solç top
Fluvastatina sódica;Novartis Biociências;LESCOL;20mg;caps gelat dura
Fluvastatina sódica;Novartis Biociências;LESCOL;40mg;caps gelat dura
Fluvastatina sódica;Novartis Biociências;LESCOL XL;80mg;comp rev lib prolong
Folinato cálcico;Pfizer;LEgIFOL CS;10mg/mL (ácido folínico);solç inj
Folinato cálcico (Leucovorina cálcica);Zodiac;TECNOVORIN;15mg;comp
Folinato cálcico (Leucovorina cálcica);Zodiac;TECNOVORIN;50mg;po liof inj
Formoterol (fumarato);Novartis Biociências;FORADIL;12mcg;caps gelat dura po inal
Fosinopril sódico;Bristol Myers Squibb;MONOPRIL;10mg;comp
